year,Q,month
1812,72.4159084578259,5
1813,42.7651404297003,5
1814,94.5337867597196,5
1815,52.6326116137018,5
1816,67.019187170026,5
1817,48.8509802538217,5
1818,58.3396841327632,5
1819,70.2716239213653,5
1820,88.0363171801171,5
1821,69.3882025133388,5
1822,33.5741087936038,5
1823,43.0926388528954,5
1824,35.9628768011443,5
1825,12.4573327285037,5
1826,13.865488700001,5
1827,33.693035360057,5
1828,42.4007792885995,5
1829,77.4595620341733,5
1830,84.2933247298579,5
1831,67.443035117643,5
1832,37.7013963832061,5
1833,11.1526848225075,5
1834,20.0911638400142,5
1835,36.3774629944783,5
1836,49.1825884311156,5
1837,23.0825615377893,5
1838,37.0267842323883,5
1839,40.4090407714368,5
1840,39.0993448487626,5
1841,64.5862507181362,5
1842,10.2400651332756,5
1843,12.7016942391097,5
1844,-1.84823943364336,5
1845,36.3356865494294,5
1846,73.799695497913,5
1847,45.3407833892589,5
1848,103.027956171745,5
1849,53.6993152449128,5
1850,45.3615003282401,5
1851,37.8180641478189,5
1852,43.4728828970894,5
1853,37.4547724576142,5
1854,49.6391462680556,5
1855,39.9053910832001,5
1856,57.7464206770791,5
1857,56.9491101412377,5
1858,54.2179576737352,5
1859,69.8504574755504,5
1860,55.7492875641315,5
1861,92.7544110696861,5
1862,138.457252447874,5
1863,73.6391343005054,5
1864,52.5944024514613,5
1865,8.55562811666521,5
1866,33.2251281694968,5
1867,35.5527970037105,5
1868,39.9887154150769,5
1869,49.0858783032024,5
1870,35.9496159520561,5
1871,57.8553810412663,5
1872,79.8345841951923,5
1873,78.4796478367138,5
1874,44.1190424540533,5
1875,75.5999725023347,5
1876,51.2203247852532,5
1877,9.08598442442558,5
1878,29.6223352745647,5
1879,33.6168480026451,5
1880,63.5039086172279,5
1881,84.7079714817031,5
1882,61.9535078211163,5
1883,69.1942401559724,5
1884,72.0473762093756,5
1885,39.7808510571309,5
1886,35.9565896069652,5
1887,30.4170858178524,5
1888,59.7696201820551,5
1889,53.3084336833572,5
1890,12.5718307573477,5
1891,100.533795576406,5
1892,0.117052318688494,5
1893,79.9992059155261,5
1894,79.1458605036815,5
1895,41.6453599759571,5
1896,67.9830352048488,5
1897,49.0430780264731,5
1898,35.1594322466482,5
1899,32.3687204717356,5
